Genome,Genome ID,Accession,PATRIC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1155","SAOUHSC_01261","VBIStaAur99865_1155","PATRIC.93061.5.NC_007795.CDS.1214907.1216058.fwd","PATRIC","CDS",1214907,1216058,1152,"+","FIG01485667","PLF_1279_00001313","PGF_08110123","YP_499794.1",383,,"ADP-ribose pyrophosphatase of COG1058 family (EC 3.6.1.13) / Nicotinamide-nucleotide amidase (EC 3.5.1.42)","GO:0047631|ADP-ribose diphosphatase activity;GO:0019159|nicotinamide-nucleotide amidase activity"
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1156","SAOUHSC_01262","VBIStaAur99865_1156","PATRIC.93061.5.NC_007795.CDS.1216223.1217266.fwd","PATRIC","CDS",1216223,1217266,1044,"+","FIG00000234","PLF_1279_00000609","PGF_00047078","YP_499795.2",347,"recA","RecA protein",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.109","SAOUHSC_00117","VBIStaAur99865_0109","PATRIC.93061.5.NC_007795.CDS.121649.123472.fwd","PATRIC","CDS",121649,123472,1824,"+","FIG01955990","PLF_1279_00007520","PGF_00736072","YP_498717.1",607,,"Probable polysaccharide biosynthesis protein EpsC",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1157","SAOUHSC_01263","VBIStaAur99865_1157","PATRIC.93061.5.NC_007795.CDS.1217620.1219179.fwd","PATRIC","CDS",1217620,1219179,1560,"+","FIG00002344","PLF_1279_00000229","PGF_03000099","YP_499796.1",519,,"Ribonuclease Y",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1158","SAOUHSC_01264","VBIStaAur99865_1158","PATRIC.93061.5.NC_007795.CDS.1219476.1219691.rev","PATRIC","CDS",1219476,1219691,216,"-","FIG01107998","PLF_1279_00000999","PGF_08225224","YP_499797.1",71,,"hypothetical protein",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1159","SAOUHSC_01265","VBIStaAur99865_1159","PATRIC.93061.5.NC_007795.CDS.1219865.1220662.fwd","PATRIC","CDS",1219865,1220662,798,"+","FIG00006542","PLF_1279_00000799","PGF_06823736","YP_499798.1",265,,"2',3'-cyclic-nucleotide 2'-phosphodiesterase, Bsub YmdB",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1160","SAOUHSC_01266","VBIStaAur99865_1160","PATRIC.93061.5.NC_007795.CDS.1220802.1222562.fwd","PATRIC","CDS",1220802,1222562,1761,"+","FIG00937303","PLF_1279_00000577","PGF_00410279","YP_499799.1",586,,"2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase, gamma subunit (EC 1.2.7.-) / 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase, alpha subunit (EC 1.2.7.-)","GO:0043873|pyruvate-flavodoxin oxidoreductase activity"
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1161","SAOUHSC_01267","VBIStaAur99865_1161","PATRIC.93061.5.NC_007795.CDS.1222563.1223429.fwd","PATRIC","CDS",1222563,1223429,867,"+","FIG00049580","PLF_1279_00000279","PGF_03977347","YP_499800.1",288,,"2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase, beta subunit (EC 1.2.7.-)","GO:0043873|pyruvate-flavodoxin oxidoreductase activity"
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1162","SAOUHSC_01268","VBIStaAur99865_1162","PATRIC.93061.5.NC_007795.CDS.1223523.1223816.fwd","PATRIC","CDS",1223523,1223816,294,"+","FIG01108317","PLF_1279_00000919","PGF_03887337","YP_499801.1",97,,"hypothetical protein",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1163","SAOUHSC_01269","VBIStaAur99865_1163","PATRIC.93061.5.NC_007795.CDS.1223950.1225494.fwd","PATRIC","CDS",1223950,1225494,1545,"+","FIG00108342","PLF_1279_00000278","PGF_08562657","YP_499802.1",514,,"tRNA-i(6)A37 methylthiotransferase (EC 2.8.4.3)",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1164","SAOUHSC_01270","VBIStaAur99865_1164","PATRIC.93061.5.NC_007795.CDS.1225495.1225860.fwd","PATRIC","CDS",1225495,1225860,366,"+","FIG01107971","PLF_1279_00001961","PGF_04791864","YP_499803.1",121,,"hypothetical protein",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1165","SAOUHSC_01271","VBIStaAur99865_1165","PATRIC.93061.5.NC_007795.CDS.1225887.1226378.fwd","PATRIC","CDS",1225887,1226378,492,"+","FIG00009395","PLF_1279_00000875","PGF_00054415","YP_499804.1",163,,"Substrate-specific component ThiW of predicted thiazole ECF transporter",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1166","SAOUHSC_01272","VBIStaAur99865_1166","PATRIC.93061.5.NC_007795.CDS.1226681.1229299.fwd","PATRIC","CDS",1226681,1229299,2619,"+","FIG00000356","PLF_1279_00000136","PGF_05340948","YP_499805.1",872,,"DNA mismatch repair protein MutS","GO:0003677|DNA binding;GO:0003684|damaged DNA binding;GO:0005524|ATP binding;GO:0006259|DNA metabolic process;GO:0006281|DNA repair;GO:0006298|mismatch repair"
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1167","SAOUHSC_01273","VBIStaAur99865_1167","PATRIC.93061.5.NC_007795.CDS.1229312.1231321.fwd","PATRIC","CDS",1229312,1231321,2010,"+","FIG00000380","PLF_1279_00000118","PGF_05507938","YP_499806.1",669,"mutL","DNA mismatch repair protein MutL","GO:0005524|ATP binding;GO:0006298|mismatch repair"
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1168","SAOUHSC_01274","VBIStaAur99865_1168","PATRIC.93061.5.NC_007795.CDS.1231336.1231869.fwd","PATRIC","CDS",1231336,1231869,534,"+","FIG00001907","PLF_1279_00000593","PGF_03077457","YP_499807.1",177,,"Glycerol-3-phosphate responsive antiterminator (mRNA-binding)",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1169","SAOUHSC_01275","VBIStaAur99865_1169","PATRIC.93061.5.NC_007795.CDS.1232334.1233152.fwd","PATRIC","CDS",1232334,1233152,819,"+","FIG00045413","PLF_1279_00000422","PGF_00008542","YP_499808.1",272,,"Glycerol uptake facilitator protein","GO:0005215|transporter activity;GO:0006810|transport;GO:0016020|membrane"
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1170","SAOUHSC_01276","VBIStaAur99865_1170","PATRIC.93061.5.NC_007795.CDS.1233281.1234777.fwd","PATRIC","CDS",1233281,1234777,1497,"+","FIG00075702","PLF_1279_00000511","PGF_00008537","YP_499809.1",498,"glpK","Glycerol kinase (EC 2.7.1.30)","GO:0004370|glycerol kinase activity"
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.110","SAOUHSC_00118","VBIStaAur99865_0110","PATRIC.93061.5.NC_007795.CDS.123462.124490.fwd","PATRIC","CDS",123462,124490,1029,"+","FIG01304623","PLF_1279_00002823","PGF_03473668","YP_498718.1",342,,"hypothetical protein",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1171","SAOUHSC_01278","VBIStaAur99865_1171","PATRIC.93061.5.NC_007795.CDS.1234935.1236608.fwd","PATRIC","CDS",1234935,1236608,1674,"+","FIG00043723","PLF_1279_00000345","PGF_00036543","YP_499810.1",557,,"Aerobic glycerol-3-phosphate dehydrogenase (EC 1.1.5.3)",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1172","SAOUHSC_01279","VBIStaAur99865_1172","PATRIC.93061.5.NC_007795.CDS.1236758.1237672.fwd","PATRIC","CDS",1236758,1237672,915,"+","FIG00001043","PLF_1279_00001764","PGF_10512761","YP_499811.1",304,,"Lysophospholipase (EC 3.1.1.5); Monoglyceride lipase (EC 3.1.1.23)","GO:0004622|lysophospholipase activity;GO:0047372|acylglycerol lipase activity"
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1173","SAOUHSC_01280","VBIStaAur99865_1173","PATRIC.93061.5.NC_007795.CDS.1237690.1238625.fwd","PATRIC","CDS",1237690,1238625,936,"+","FIG01958810","PLF_1279_00000183","PGF_04807486","YP_499812.1",311,"miaA","tRNA dimethylallyltransferase (EC 2.5.1.75)",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1174","SAOUHSC_01281","VBIStaAur99865_1174","PATRIC.93061.5.NC_007795.CDS.1238640.1238873.fwd","PATRIC","CDS",1238640,1238873,234,"+","FIG00000583","PLF_1279_00000773","PGF_00046622","YP_499813.1",77,,"RNA-binding protein Hfq","GO:0016071|mRNA metabolic process;GO:0030529|ribonucleoprotein complex"
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1175","SAOUHSC_01282","VBIStaAur99865_1175","PATRIC.93061.5.NC_007795.CDS.1239095.1239571.rev","PATRIC","CDS",1239095,1239571,477,"-","FIG00440770","PLF_1279_00054404","PGF_08363070","YP_499814.1",158,,"Glutathione peroxidase (EC 1.11.1.9) @ Thioredoxin peroxidase (EC 1.11.1.15)","GO:0004602|glutathione peroxidase activity;GO:0051920|peroxiredoxin activity"
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1176","SAOUHSC_01283","VBIStaAur99865_1176","PATRIC.93061.5.NC_007795.CDS.1239683.1240921.fwd","PATRIC","CDS",1239683,1240921,1239,"+","FIG00000304","PLF_1279_00000299","PGF_00007028","YP_499815.1",412,,"Ribosome LSU-associated GTP-binding protein HflX",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1177","SAOUHSC_01284","VBIStaAur99865_1177","PATRIC.93061.5.NC_007795.CDS.1240940.1242178.fwd","PATRIC","CDS",1240940,1242178,1239,"+","FIG00774347","PLF_1279_00000370","PGF_00049731","YP_499816.1",412,,"Aluminum resistance protein",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1178","SAOUHSC_01285","VBIStaAur99865_1178","PATRIC.93061.5.NC_007795.CDS.1242421.1242789.fwd","PATRIC","CDS",1242421,1242789,369,"+","FIG00340351","PLF_1279_00000586","PGF_00004239","YP_499817.1",122,,"FemC, factor involved in methicillin resistance / Glutamine synthetase repressor",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1179","SAOUHSC_01287","VBIStaAur99865_1179","PATRIC.93061.5.NC_007795.CDS.1242808.1244148.fwd","PATRIC","CDS",1242808,1244148,1341,"+","FIG00134889","PLF_1279_00000592","PGF_00275905","YP_499818.1",446,,"Glutamine synthetase type I (EC 6.3.1.2)","GO:0004356|glutamate-ammonia ligase activity"
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1180","SAOUHSC_01288","VBIStaAur99865_1180","PATRIC.93061.5.NC_007795.CDS.1244641.1244838.fwd","PATRIC","CDS",1244641,1244838,198,"+","FIG01389707","PLF_1279_00002432","PGF_03469506","YP_499819.1",65,,"hypothetical protein transposon-related",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.111","SAOUHSC_00119","VBIStaAur99865_0111","PATRIC.93061.5.NC_007795.CDS.124503.125612.fwd","PATRIC","CDS",124503,125612,1110,"+","FIG01305191","PLF_1279_00001850","PGF_08278310","YP_498719.1",369,,"Capsular polysaccharide synthesis enzyme Cap5F",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1181","SAOUHSC_01289","VBIStaAur99865_1181","PATRIC.93061.5.NC_007795.CDS.1245539.1245751.fwd","PATRIC","CDS",1245539,1245751,213,"+","FIG01389707","PLF_1279_00002304","PGF_03469506","YP_499820.1",70,,"hypothetical protein transposon-related",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1182","SAOUHSC_01290","VBIStaAur99865_1182","PATRIC.93061.5.NC_007795.CDS.1246045.1246251.fwd","PATRIC","CDS",1246045,1246251,207,"+","FIG01108052","PLF_1279_00002193","PGF_12956960","YP_499821.1",68,,"hypothetical protein",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1183","SAOUHSC_01292","VBIStaAur99865_1183","PATRIC.93061.5.NC_007795.CDS.1247490.1247675.fwd","PATRIC","CDS",1247490,1247675,186,"+","FIG01389707","PLF_1279_00002205","PGF_03469472","YP_499823.1",61,,"hypothetical protein transposon-related",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1184","SAOUHSC_01293","VBIStaAur99865_1184","PATRIC.93061.5.NC_007795.CDS.1248187.1248291.fwd","PATRIC","CDS",1248187,1248291,105,"+","FIG01315817","PLF_1279_00002864","PGF_02897771","YP_499824.1",34,,"hypothetical protein transposon-related",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1185","SAOUHSC_01295","VBIStaAur99865_1185","PATRIC.93061.5.NC_007795.CDS.1248420.1248671.fwd","PATRIC","CDS",1248420,1248671,252,"+","FIG01108065","PLF_1279_00002342","PGF_03469519","YP_499826.1",83,,"hypothetical protein",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1186","SAOUHSC_01296","VBIStaAur99865_1186","PATRIC.93061.5.NC_007795.CDS.1248717.1249301.fwd","PATRIC","CDS",1248717,1249301,585,"+","FIG01108199","PLF_1279_00013144","PGF_08225224","YP_499827.1",194,,"hypothetical protein",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1187","SAOUHSC_01297","VBIStaAur99865_1187","PATRIC.93061.5.NC_007795.CDS.1249422.1249670.fwd","PATRIC","CDS",1249422,1249670,249,"+","FIG01389707","PLF_1279_00002744","PGF_03472868","YP_499828.1",82,,"hypothetical protein transposon-related",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1188","SAOUHSC_01300","VBIStaAur99865_1188","PATRIC.93061.5.NC_007795.CDS.1250097.1250213.fwd","PATRIC","CDS",1250097,1250213,117,"+","FIG01455414","PLF_1279_00002791","PGF_08225224","YP_499831.1",38,,"hypothetical protein",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1189","SAOUHSC_01301","VBIStaAur99865_1189","PATRIC.93061.5.NC_007795.CDS.1250222.1250347.fwd","PATRIC","CDS",1250222,1250347,126,"+","FIG01389707","PLF_1279_00002762","PGF_03473051","YP_499832.1",41,,"hypothetical protein transposon-related",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1190","SAOUHSC_01302","VBIStaAur99865_1190","PATRIC.93061.5.NC_007795.CDS.1250550.1250684.fwd","PATRIC","CDS",1250550,1250684,135,"+","FIG01107992","PLF_1279_00013144","PGF_08225224","YP_499833.1",44,,"hypothetical protein",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1191","SAOUHSC_01303","VBIStaAur99865_1191","PATRIC.93061.5.NC_007795.CDS.1250775.1251065.fwd","PATRIC","CDS",1250775,1251065,291,"+",,"PLF_1279_00002725","PGF_08225224","YP_499834.1",96,,"hypothetical protein",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1192","SAOUHSC_01304","VBIStaAur99865_1192","PATRIC.93061.5.NC_007795.CDS.1251076.1251270.fwd","PATRIC","CDS",1251076,1251270,195,"+","FIG01107942","PLF_1279_00002715","PGF_03472583","YP_499835.1",64,,"hypothetical protein transposon-related",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1193","SAOUHSC_01305","VBIStaAur99865_1193","PATRIC.93061.5.NC_007795.CDS.1251311.1251661.fwd","PATRIC","CDS",1251311,1251661,351,"+","FIG01107844","PLF_1279_00002371","PGF_08225224","YP_499836.1",116,,"hypothetical protein",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1194","SAOUHSC_01306","VBIStaAur99865_1194","PATRIC.93061.5.NC_007795.CDS.1251668.1251859.fwd","PATRIC","CDS",1251668,1251859,192,"+","FIG01107942","PLF_1279_00002349","PGF_00274496","YP_499837.1",63,,"hypothetical protein",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1195","SAOUHSC_01307","VBIStaAur99865_1195","PATRIC.93061.5.NC_007795.CDS.1252408.1253433.rev","PATRIC","CDS",1252408,1253433,1026,"-","FIG00000679","PLF_1279_00000996","PGF_12946886","YP_499838.1",341,,"Low-specificity L-threonine aldolase (EC 4.1.2.48)",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1196",,"VBIStaAur99865_1196","PATRIC.93061.5.NC_007795.CDS.1253703.1253900.fwd","PATRIC","CDS",1253703,1253900,198,"+","FIG01107989","PLF_1279_00002185","PGF_08225224",,65,,"hypothetical protein",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1197","SAOUHSC_01310","VBIStaAur99865_1197","PATRIC.93061.5.NC_007795.CDS.1253958.1255439.fwd","PATRIC","CDS",1253958,1255439,1482,"+","FIG00052605","PLF_1279_00125560","PGF_10482116","YP_499840.1",493,,"Cardiolipin synthase, bacterial type ClsA",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1198","SAOUHSC_01311","VBIStaAur99865_1198","PATRIC.93061.5.NC_007795.CDS.1255623.1256522.fwd","PATRIC","CDS",1255623,1256522,900,"+","FIG00744535","PLF_1279_00002285","PGF_12933114","YP_499841.1",299,,"ABC transporter, ATP-binding protein",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.112","SAOUHSC_00120","VBIStaAur99865_0112","PATRIC.93061.5.NC_007795.CDS.125616.126740.fwd","PATRIC","CDS",125616,126740,1125,"+","FIG01954933","PLF_1279_00001805","PGF_00063969","YP_498720.1",374,,"UDP-N-acetyl-L-fucosamine synthase (EC 5.1.3.28)",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1199","SAOUHSC_01312","VBIStaAur99865_1199","PATRIC.93061.5.NC_007795.CDS.1256491.1257222.fwd","PATRIC","CDS",1256491,1257222,732,"+","FIG00482249","PLF_1279_00002283","PGF_07604576","YP_499842.1",243,,"Efflux ABC transporter, permease protein",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1200","SAOUHSC_01313","VBIStaAur99865_1200","PATRIC.93061.5.NC_007795.CDS.1257226.1258317.fwd","PATRIC","CDS",1257226,1258317,1092,"+","FIG01107919","PLF_1279_00002276","PGF_07445153","YP_499843.1",363,,"Two-component system sensor histidine kinase",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1201","SAOUHSC_01314","VBIStaAur99865_1201","PATRIC.93061.5.NC_007795.CDS.1258314.1258916.fwd","PATRIC","CDS",1258314,1258916,603,"+","FIG01956054","PLF_1279_00010660","PGF_09666309","YP_499844.1",200,,"Two-component transcriptional response regulator, LuxR family",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1202","SAOUHSC_01315","VBIStaAur99865_1202","PATRIC.93061.5.NC_007795.CDS.1259029.1259217.rev","PATRIC","CDS",1259029,1259217,189,"-","FIG01108129","PLF_1279_00002116","PGF_03476308","YP_499845.1",62,,"hypothetical protein",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1203","SAOUHSC_01316","VBIStaAur99865_1203","PATRIC.93061.5.NC_007795.CDS.1259356.1259889.fwd","PATRIC","CDS",1259356,1259889,534,"+","FIG01315905","PLF_1279_00001709","PGF_03467609","YP_499846.1",177,,"Staphylococcus nuclease (SNase) domain",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1204","SAOUHSC_01317","VBIStaAur99865_1204","PATRIC.93061.5.NC_007795.CDS.1260032.1260886.rev","PATRIC","CDS",1260032,1260886,855,"-","FIG01108652","PLF_1279_00002028","PGF_08225224","YP_499847.1",284,,"hypothetical protein",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1205","SAOUHSC_01318","VBIStaAur99865_1205","PATRIC.93061.5.NC_007795.CDS.1261202.1261792.fwd","PATRIC","CDS",1261202,1261792,591,"+","FIG01108030","PLF_1279_00001820","PGF_07890178","YP_499848.1",196,,"hypothetical protein",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1206","SAOUHSC_01319","VBIStaAur99865_1206","PATRIC.93061.5.NC_007795.CDS.1261846.1263228.rev","PATRIC","CDS",1261846,1263228,1383,"-","FIG00000132","PLF_1279_00000451","PGF_00862519","YP_499849.1",460,,"Aspartokinase (EC 2.7.2.4)","GO:0004072|aspartate kinase activity"
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1207","SAOUHSC_01320","VBIStaAur99865_1207","PATRIC.93061.5.NC_007795.CDS.1263419.1264699.fwd","PATRIC","CDS",1263419,1264699,1281,"+","FIG00000434","PLF_1279_00000330","PGF_00492707","YP_499850.1",426,,"Homoserine dehydrogenase (EC 1.1.1.3)","GO:0004412|homoserine dehydrogenase activity"
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1208","SAOUHSC_01321","VBIStaAur99865_1208","PATRIC.93061.5.NC_007795.CDS.1264705.1265766.fwd","PATRIC","CDS",1264705,1265766,1062,"+","FIG00000134","PLF_1279_00000779","PGF_03316046","YP_499851.1",353,,"Threonine synthase (EC 4.2.3.1)","GO:0004795|threonine synthase activity"
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1209","SAOUHSC_01322","VBIStaAur99865_1209","PATRIC.93061.5.NC_007795.CDS.1265768.1266682.fwd","PATRIC","CDS",1265768,1266682,915,"+","FIG00000582","PLF_1279_00000384","PGF_00012356","YP_499852.1",304,,"Homoserine kinase (EC 2.7.1.39)","GO:0004413|homoserine kinase activity"
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1210","SAOUHSC_01323","VBIStaAur99865_1210","PATRIC.93061.5.NC_007795.CDS.1266740.1267543.fwd","PATRIC","CDS",1266740,1267543,804,"+","FIG00510207","PLF_1279_00001530","PGF_02899915","YP_499853.1",267,,"Hydrolase, HAD superfamily",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.113","SAOUHSC_00121","VBIStaAur99865_0113","PATRIC.93061.5.NC_007795.CDS.126743.127369.fwd","PATRIC","CDS",126743,127369,627,"+","FIG00025148","PLF_1279_00002231","PGF_00416318","YP_498721.1",208,,"Capsular polysaccharide synthesis enzyme Cap5H; O-acetyl transferase",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1211","SAOUHSC_01324","VBIStaAur99865_1211","PATRIC.93061.5.NC_007795.CDS.1267836.1268150.rev","PATRIC","CDS",1267836,1268150,315,"-","FIG01108418","PLF_1279_00000920","PGF_08225224","YP_499854.1",104,,"hypothetical protein",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1212","SAOUHSC_01326","VBIStaAur99865_1212","PATRIC.93061.5.NC_007795.CDS.1268368.1269822.rev","PATRIC","CDS",1268368,1269822,1455,"-","FIG00003013","PLF_1279_00000849","PGF_02928547","YP_499856.1",484,,"Uncharacterized GabP-family amino acid permease SAV1333",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1213","SAOUHSC_01327","VBIStaAur99865_1213","PATRIC.93061.5.NC_007795.CDS.1270026.1271543.fwd","PATRIC","CDS",1270026,1271543,1518,"+","FIG00000313","PLF_1279_00000545","PGF_02995555","YP_499857.1",505,,"Catalase KatE (EC 1.11.1.6)","GO:0004096|catalase activity"
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1214","SAOUHSC_01328","VBIStaAur99865_1214","PATRIC.93061.5.NC_007795.CDS.1271634.1271783.fwd","PATRIC","CDS",1271634,1271783,150,"+","FIG01956152","PLF_1279_00000015","PGF_06609275","YP_499858.1",49,"rpmG","LSU ribosomal protein L33p @ LSU ribosomal protein L33p, zinc-dependent","GO:0003735|structural constituent of ribosome;GO:0005622|intracellular;GO:0005840|ribosome;GO:0006412|translation"
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1215","SAOUHSC_01329","VBIStaAur99865_1215","PATRIC.93061.5.NC_007795.CDS.1272237.1272506.fwd","PATRIC","CDS",1272237,1272506,270,"+","FIG00000066","PLF_1279_00001027","PGF_00049844","YP_499859.1",89,"rpsN","SSU ribosomal protein S14p (S29e) @ SSU ribosomal protein S14p (S29e), zinc-independent","GO:0003735|structural constituent of ribosome;GO:0005622|intracellular;GO:0005840|ribosome;GO:0006412|translation"
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1216","SAOUHSC_01330","VBIStaAur99865_1216","PATRIC.93061.5.NC_007795.CDS.1272663.1273640.fwd","PATRIC","CDS",1272663,1273640,978,"+","FIG00001278","PLF_1279_00000327","PGF_00006931","YP_499860.1",325,,"GMP reductase (EC 1.7.1.7)","GO:0003920|GMP reductase activity"
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.114","SAOUHSC_00122","VBIStaAur99865_0114","PATRIC.93061.5.NC_007795.CDS.127374.128483.fwd","PATRIC","CDS",127374,128483,1110,"+","FIG00024085","PLF_1279_00002232","PGF_01316067","YP_498722.1",369,,"hypothetical protein",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.1217","SAOUHSC_01332","VBIStaAur99865_1217","PATRIC.93061.5.NC_007795.CDS.1273815.1274678.fwd","PATRIC","CDS",1273815,1274678,864,"+","FIG01108070","PLF_1279_00001642","PGF_08225224","YP_499862.1",287,,"hypothetical protein",
